嘉兴,嘉善县,16906,20486,GSM,室外,标准宏站,正常运行,JXD2046,JXD2046嘉善野鹅羽绒D,浙江省嘉兴市嘉善野鹅羽绒基站嘉善台升开发区野鹅羽绒,S222,120.96006,30.8557,2014历史分期-全国,2009-1-1
嘉兴,平湖市,55210,57423,WCDMA,室外,标准宏站,正常运行,JXW5742,平湖南都景苑,浙江省嘉兴市平湖南都景苑基站平湖市梅园路383号南都景苑10幢14层,S111,121.00275,30.69092,2014历史分期-全国,2009-12-1
嘉兴,海宁市,16912,12948,GSM,室外,标准宏站,正常运行,JXB5169,JXB5169海宁盐仓四,"浙江省嘉兴市海宁盐仓垦区热电厂北,永盛集团西侧",S222,120.407583,30.357861,2014历史分期-全国,2009-2-1
嘉兴,海宁市,55208,53752,WCDMA,室外,标准宏站,正常运行,JXW5375,海宁丁桥,浙江省嘉兴市海宁丁桥,S111,120.641109,30.422498,2014历史分期-全国,2009-12-1
嘉兴,南湖区,16955,30866,GSM,室内,分布式站,正常运行,JXBSF1074,JXBSF1074嘉兴学院医学院SF,浙江省嘉兴市大树福地广场室内分布系统嘉兴市嘉杭路与中环南路交叉口B1-17F及电梯,S2222,120.7196,30.73844,2014历史分期-全国,2011-3-1
嘉兴,南湖区,55200,31303,WCDMA,室内,分布式站,正常运行,JXWSF3130,嘉兴南洋学院WSF1,嘉兴南洋学院,S11,120.75331,30.79732,2014历史分期-全国,2009-9-1
嘉兴,海宁市,16912,20162,GSM,室外,标准宏站,正常运行,JXD5028,JXD5028海宁皮革城D,浙江省嘉兴市海宁皮革城基站海宁皮革服装广场花坛中,S222,120.684995,30.542496,2014历史分期-全国,2009-1-1
嘉兴,嘉善县,16906,17302,GSM,室外,标准宏站,正常运行,JXB2105,JXB2105嘉善魏中村,浙江省嘉兴市嘉善魏中村,S222,120.94725,30.88715,2014历史分期-全国,2009-9-1
嘉兴,桐乡市,16917,21727,GSM,室外,标准宏站,正常运行,JXB6095,JXB6095桐乡濮院联园桥,浙江省嘉兴市桐乡濮院联园桥,S222,120.62072,30.67074,2014历史分期-全国,2010-11-1
嘉兴,平湖市,16945,18883,GSM,室外,标准宏站,正常运行,JXD3047,JXD3047平湖体育馆D,浙江省嘉兴市平湖体育馆基站平湖东湖开发区内,S222,121.04404,30.6973,2014历史分期-全国,2008-11-1
嘉兴,南湖,819226,21,FDD-LTE,室外,分布式站,正常运行,JXFL1023,嘉兴好雀针织,浙江省嘉兴市嘉兴好雀针织基站嘉兴纺工路南溪路口好雀针织楼顶,,120.764781,30.753671,2014FDD-LTE-全国,2014-9-18
嘉兴,桐乡市,16917,20318,GSM,室外,标准宏站,正常运行,JXD6045,JXD6045桐乡濮院东D,浙江省嘉兴市桐乡濮院东,S222,120.64546,30.66784,2014历史分期-全国,2009-2-1
嘉兴,嘉善县,16906,21628,GSM,室外,标准宏站,正常运行,JXB2045,JXB2045嘉善虹桥小区,浙江省嘉兴市嘉善虹桥小区基站嘉善虹桥小区移动站,S222,120.97314,30.89063,2014历史分期-全国,2010-11-1
嘉兴,嘉善县,16906,21063,GSM,室外,标准宏站,正常运行,JXD2014,JXD2014嘉善华龙电器D,浙江省嘉兴市嘉善华龙宾馆浙江嘉善大云镇西云经济开发区嘉善华龙电器,S232,120.93376,30.81447,2014历史分期-全国,2009-9-1
嘉兴,海宁市,16912,20978,GSM,室外,标准宏站,正常运行,JXB5212,JXB5212海宁长安豪都,浙江省嘉兴市海宁长安豪都假日酒店海宁市长安镇豪都假日酒店内,S222,120.44726,30.44707,2014历史分期-全国,2009-9-1
嘉兴,南湖,819250,31,FDD-LTE,室外,分布式站,正常运行,JXFL1047,嘉兴中山路兴业,浙江省嘉兴市嘉兴中山路兴业基站嘉兴中山路兴业大厦,,120.74697,30.76463,2014FDD-LTE-全国,2014-9-20
嘉兴,南湖,819251,11,FDD-LTE,室外,分布式站,正常运行,JXFL1048,嘉兴紫阳宾馆,浙江省嘉兴市嘉兴紫阳宾馆基站嘉兴市紫阳街健康弄,,120.74705,30.75905,2014FDD-LTE-全国,2014-8-25
嘉兴,南湖,819251,21,FDD-LTE,室外,分布式站,正常运行,JXFL1048,嘉兴紫阳宾馆,浙江省嘉兴市嘉兴紫阳宾馆基站嘉兴市紫阳街健康弄,,120.74705,30.75905,2014FDD-LTE-全国,2014-8-25
嘉兴,桐乡市,55206,59062,WCDMA,室外,标准宏站,正常运行,JXW5906,桐乡屠甸北,浙江省嘉兴市桐乡屠甸北基站桐乡市屠甸开发区北侧,S111,120.62561,30.58807,2014历史分期-全国,2009-12-1
嘉兴,海宁市,55214,61097,WCDMA,室外,分布式站,正常运行,JXW6109,海宁长安服务区GT,海宁长安服务区,S1,120.46354,30.48687,2014历史分期-全国,2010-10-1
嘉兴,海宁市,55208,33212,WCDMA,室内,分布式站,正常运行,JXWSF3321,海宁十二号楼WSF3,海宁大酒店,S11,120.68513,30.53163,2014历史分期-全国,2011-9-1
嘉兴,秀洲区,55202,50373,WCDMA,室外,分布式站,正常运行,JXW5037,嘉兴王江泾腾云,浙江省嘉兴市秀洲区王江泾开发区腾云村,S211,120.70969,30.85136,2014历史分期-全国,2010-4-1
嘉兴,桐乡市,16917,20196,GSM,室外,标准宏站,正常运行,JXD6063,JXD6063桐乡人民路D,浙江省嘉兴市桐乡人民路基站桐乡市梧桐街道人民路334号,S222,120.55822,30.61885,2014历史分期-全国,2009-3-1
嘉兴,桐乡市,55206,38664,WCDMA,室内,分布式站,正常运行,JXWSF3866,桐乡濮院营业厅WSF2,桐乡濮院营业厅,S1,120.62061,30.67746,2014历史分期-全国,2009-7-1
嘉兴,秀洲区,55200,42353,WCDMA,室外,分布式站,正常运行,JXW4235,嘉兴双桥水厂,浙江省嘉兴市秀洲区王江泾镇双桥村双桥自来水厂内,S111,120.71342,30.82107,2014历史分期-全国,2011-12-1
嘉兴,平湖市,55210,47583,WCDMA,室外,标准宏站,正常运行,JXW4758,平湖小营头,平湖小营头_1,S111,121.18586,30.66375,2014历史分期-全国,2013-5-1
嘉兴,桐乡市,16917,19792,GSM,室外,标准宏站,正常运行,JXD6019,JXD6019桐乡丰桥南D,浙江省嘉兴市桐乡经济开发区内,S222,120.53849,30.60799,2014历史分期-全国,2009-2-1
嘉兴,平湖市,55210,37182,WCDMA,室内,分布式站,正常运行,JXWSF3718,平湖乍浦山鑫WSF1,平湖乍浦山鑫,S11,121.08722,30.60111,2014历史分期-全国,2009-7-1
嘉兴,秀洲区,55200,50631,WCDMA,室外,标准宏站,正常运行,JXW5063,嘉兴财富假日酒店,浙江省嘉兴市嘉兴财富假日酒店基站嘉兴中山西路财富假日酒店,S111,120.714681,30.760851,2014历史分期-全国,2009-5-1
嘉兴,嘉善县,55204,56992,WCDMA,室外,标准宏站,正常运行,JXW5699,嘉善杨庙,浙江省嘉兴市嘉善杨庙基站嘉善县杨庙镇麟溪村,S111,120.820559,30.848883,2014历史分期-全国,2009-12-1
嘉兴,桐乡市,55206,59553,WCDMA,室外,分布式站,正常运行,JXW5955,桐乡运河农场,浙江省嘉兴市桐乡运河农场基站桐乡濮院运河农场内,S111,120.606583,30.695277,2014历史分期-全国,2011-12-1
嘉兴,南湖区,16955,48825,GSM,室内,分布式站,正常运行,JXBSF1086,JXBSF1086嘉兴中港城SF,浙江省嘉兴中港城室内分布系统嘉兴市南湖区中环南路双溪路口,S2222,120.78905,30.74176,2014历史分期-全国,2011-1-1
嘉兴,秀洲,819228,21,FDD-LTE,室外,分布式站,正常运行,JXFL1025,嘉兴建陶市场,浙江省嘉兴市建陶市场,,120.70083,30.73465,2014FDD-LTE-全国,2014-8-29
嘉兴,秀洲区,55200,51332,WCDMA,室外,标准宏站,正常运行,JXW5133,嘉兴高照,浙江省嘉兴市嘉兴高照基站嘉兴高照镇高桥村,S111,120.639443,30.749445,2014历史分期-全国,2009-5-1
嘉兴,海盐县,55212,34051,WCDMA,室内,分布式站,正常运行,JXWSF3405,海盐食品公司WSF3,浙江省嘉兴市海盐张乐平纪念馆室内分布系统海盐绮园路与海滨东路交叉口,S111,120.94498,30.51894,2014历史分期-全国,2012-3-1
嘉兴,海宁市,16912,21362,GSM,室外,标准宏站,正常运行,JXD5054,JXD5054海宁金鹏氨纶D,浙江省嘉兴市海宁市联合路与文宗路路口,S222,120.669433,30.520533,2014历史分期-全国,2010-4-1
嘉兴,南湖,819251,31,FDD-LTE,室外,分布式站,正常运行,JXFL1048,嘉兴紫阳宾馆,浙江省嘉兴市嘉兴紫阳宾馆基站嘉兴市紫阳街健康弄,,120.74705,30.75905,2014FDD-LTE-全国,2014-8-25
嘉兴,桐乡市,16917,30395,GSM,室内,分布式站,正常运行,JXBSF6025,JXBSF6025桐乡濮院四SF,浙江省嘉兴市桐乡濮院环贸大厦室内分布系统桐乡濮院镇320国道与中兴路交叉口西南,S22222,120.618638,30.675916,2014历史分期-全国,2009-2-1
嘉兴,平湖市,55210,47211,WCDMA,室外,标准宏站,正常运行,JXW4721,平湖乍浦宾馆,浙江省嘉兴市平湖乍浦宾馆基站平湖乍浦镇沪杭路2号乍浦宾馆,S111,121.09547,30.60299,2014历史分期-全国,2011-6-1
嘉兴,桐乡市,55206,58983,WCDMA,室外,标准宏站,正常运行,JXW5898,桐乡濮院永乐二,浙江省嘉兴市桐乡濮院永乐巴黎春天附近,S111,120.60099,30.672333,2014历史分期-全国,2009-12-1
嘉兴,秀洲区,55200,50912,WCDMA,室外,分布式站,正常运行,JXW5091,嘉兴晓星氨纶,浙江省嘉兴市嘉兴晓星氨纶基站嘉兴塘汇晓星氨纶楼顶,S111,120.744978,30.800638,2014历史分期-全国,2010-9-1
嘉兴,南湖区,55202,50922,WCDMA,室外,标准宏站,正常运行,JXW5092,嘉兴一中,浙江省嘉兴市嘉兴一中基站中环南路东栅工业园区,S111,120.770301,30.739601,2014历史分期-全国,2009-5-1
嘉兴,秀洲,819218,31,FDD-LTE,室外,分布式站,正常运行,JXFL1015,嘉兴果蔬批发市场,浙江省嘉兴市文昌西路320国道西侧蔬菜批发市场,,120.69748,30.74869,2014FDD-LTE-全国,2014-9-25
嘉兴,南湖,819244,11,FDD-LTE,室外,分布式站,正常运行,JXFL1041,嘉兴移动宜家,浙江省嘉兴市嘉兴宜家公寓楼顶,,120.72046,30.75042,2014FDD-LTE-全国,2014-9-16
嘉兴,南湖,819240,31,FDD-LTE,室外,分布式站,正常运行,JXFL1037,嘉兴学院,浙江省嘉兴市越秀南路嘉兴学院女生宿舍楼顶,,120.724556,30.746139,2014FDD-LTE-全国,2014-8-25
嘉兴,南湖,819241,21,FDD-LTE,室外,分布式站,正常运行,JXFL1038,嘉兴学院二,浙江省嘉兴学院二美食城楼顶,,120.724722,30.749556,2014FDD-LTE-全国,2014-9-20
嘉兴,南湖,819240,21,FDD-LTE,室外,分布式站,正常运行,JXFL1037,嘉兴学院,浙江省嘉兴市越秀南路嘉兴学院女生宿舍楼顶,,120.724556,30.746139,2014FDD-LTE-全国,2014-9-24
